ORGANISATION_NAME,SUBURB,STATE,POSTCODE,LONGITUDE,LATITUDE,NHSD_SERVICE_TYPE,GA_CLASS
Roleystone Child Health Centre,Roleystone,WA,6111,116.06817626953100,-32.112281799316400,"Maternal, child and family health service",GP
Belgrave Medical Clinic,Tecoma,VIC,3160,145.3470916748050,-37.90714645385740,General practice service,GP
Dr Van Lanh Nguyen Bankstown,Bankstown,NSW,2200,151.032431,-33.918751,General practice service,GP
Nganampa Health Council - Alice Springs Admin Office,Ciccone,NT,870,133.87074279785200,-23.700685501098600,Aboriginal and Torres Strait Islander health service,GP
Eastbrooke Blacktown Gp Superclinic,Blacktown,NSW,2148,150.91024780273400,-33.771427154541000,General practice service,GP
Myhealth Edensor Park,Edensor Park,NSW,2176,150.87515258789100,-33.880950927734400,General practice service,GP
Rostrata Child Health Centre,Willetton,WA,6155,115.89388275146500,-32.04975891113280,"Maternal, child and family health service",GP
Eureka Medical And Dental Centre,Ballarat Central,VIC,3350,143.858506,-37.56394982,General practice service,GP
Narrogin Child Health Centre,Narrogin,WA,6312,117.16310119628900,-32.93731689453130,"Maternal, child and family health service",GP
Beckenham Medical Centre,Beckenham,WA,6107,115.96595764160200,-32.0134391784668,General practice service,GP
Camberwell Medical Group,Camberwell,VIC,3124,145.06028747558600,-37.83196258544920,General practice service,GP
Our Medical Caroline Springs,Caroline Springs,VIC,3023,144.74018133,-37.73515494,General practice service,GP
Varley Nursing Post,Varley,WA,6355,119.51121520996100,-32.7939567565918,Nurse led clinic,GP
Stud Park Medical And Dental Centre,Rowville,VIC,3178,145.23548889160200,-37.918827056884800,General practice service,GP
Maternal And Child Health Centre - Cobden,Cobden,VIC,3266,143.076904296875,-38.32779312133790,"Maternal, child and family health service",GP
Healthone Rylstone Child And Family Health Service,Rylstone,NSW,2849,149.97503662109400,-32.803497314453100,"Maternal, child and family health service",GP
Kingsgrove Child And Family Health,Kingsgrove,NSW,2208,151.09814453125,-33.942710876464800,"Maternal, child and family health service",GP
Bundarra Community Health Centre,Bundarra,NSW,2359,151.07594299316400,-30.165470123291000,"Maternal, child and family health service",GP
Saibai Island Primary Health Care Centre,Saibai Island,QLD,4875,142.62136840820300,-9.377981185913090,General practice service,GP
Doncaster East Family Medical Centre,Doncaster East,VIC,3109,145.16168212890600,-37.79177474975590,General practice service,GP
Maxim Street Health Hub,West Ryde,NSW,2114,151.088697,-33.808419,General practice service,GP
Darrimba Maarra Aboriginal Health Clinic - Nambucca,Nambucca Heads,NSW,2448,153.00167846679700,-30.64087677001950,Aboriginal and Torres Strait Islander health service,GP
Clifton Hill Clinic,Clifton Hill,VIC,3068,144.99717712402300,-37.78845977783200,General practice service,GP
Narromine Community Health Centre Nursing Service,Narromine,NSW,2821,148.23939514160200,-32.24299621582030,Nurse led clinic,GP
Florey Medical Centre,Florey,ACT,2615,149.0540008544920,-35.22584915161130,General practice service,GP
After Hours Gp Canning Vale,Canning Vale,WA,6155,115.94062042236300,-32.09012222290040,General practice service,GP
Moonee Ponds Medical Clinic,Moonee Ponds,VIC,3039,144.92665100097700,-37.75904083251950,General practice service,GP
Lurnea Medical Centre,Lurnea,NSW,2170,150.896927,-33.930885,General practice service,GP
Peel Youth Medical Service,Mandurah,WA,6210,115.74411010742200,-32.52811050415040,General practice service,GP
Castlecrag Medical Practice,Castlecrag,NSW,2068,151.21270751953100,-33.80213928222660,General practice service,GP
Epping Family Medical Centre,Epping,VIC,3076,145.0255889892580,-37.648193359375,General practice service,GP
Maternal And Child Health Centre - Barwon Heads,Barwon Heads,VIC,3227,144.4907684326170,-38.281227111816400,"Maternal, child and family health service",GP
Top Ryde Medical Centre,Ryde,NSW,2112,151.107177734375,-33.81490707397460,General practice service,GP
Blackwood Family Medical Centre,Blackwood,SA,5051,138.614963,-35.021536,General practice service,GP
Wagga Wagga Medical Centre,Wagga Wagga,NSW,2650,147.368549,-35.118582,General practice service,GP
Parkes Community Health Centre General Nursing Service,Parkes,NSW,2870,148.16989135742200,-33.153316497802700,Nurse led clinic,GP
Aboriginal Hacc Access/development Officer Hunter,Newcastle West,NSW,2302,151.75711059570300,-32.92499923706060,Aboriginal and Torres Strait Islander health service,GP
Remede Wellness Medicine,Mosman Park,WA,6012,115.75910186767600,-32.007076263427700,General practice service,GP
Maternal And Child Health Centre - Joy Street - Frankston,Frankston,VIC,3199,145.13172912597700,-38.14440155029300,"Maternal, child and family health service",GP
Northlands Healthsense Pharmacy,Balcatta,WA,6021,115.8299789428710,-31.873165130615200,Nurse practitioner led clinic,GP
North Street Medical Centre,Midland,WA,6056,116.00605656,-31.88532009,General practice service,GP
Benalla Health,Benalla,VIC,3672,145.99368286132800,-36.55502700805660,Nurse led clinic,GP
Mountain Gate Medical Centre,Ferntree Gully,VIC,3156,145.27322387695300,-37.88494873046880,General practice service,GP
Greenacre Medical Centre,Greenacre,NSW,2190,151.0569305419920,-33.90695571899410,General practice service,GP
Longford Child Health Centre,Longford,TAS,7301,147.1212615966800,-41.59284973144530,"Maternal, child and family health service",GP
Edgewater Boulevard Pharmacy,Maribyrnong,VIC,3032,144.8923797607420,-37.78525161743160,General practice service,GP
Gp Plus Health Care Centre Aldinga,Aldinga Beach,SA,5173,138.46420288085900,-35.27287673950200,"Maternal, child and family health service",GP
Better Health Medical Centre,Shepparton,VIC,3630,145.40135192871100,-36.373451232910200,General practice service,GP
Northern Health - Northern Hospital,Epping,VIC,3076,145.01458740234400,-37.653228759765600,"Maternal, child and family health service",GP
Ochre Medical Centre - Noosa,Noosa Heads,QLD,4567,153.0915069580080,-26.398204803466800,General practice service,GP
Mccrae Village Clinic,Mccrae,VIC,3938,144.92733764648400,-38.3493766784668,General practice service,GP
Waroona Child Health Centre,Waroona,WA,6215,115.92425795,-32.84293558,"Maternal, child and family health service",GP
Glen Iris Medical Group,Glen Iris,VIC,3146,145.0503692626950,-37.86299514770510,General practice service,GP
Bentleigh Medical Centre,Bentleigh,VIC,3204,145.03054809570300,-37.91775894165040,General practice service,GP
Stawell Medical Centre,Stawell,VIC,3380,142.77938842773400,-37.05593490600590,General practice service,GP
Green Square Health,Waterloo,NSW,2017,151.207409,-33.90249,General practice service,GP
Montrose Medical Practice,Glebe,NSW,2037,151.19203186035200,-33.884090423584000,General practice service,GP
Tambellup Child Health Centre,Tambellup,WA,6320,117.64309692382800,-34.044185638427700,"Maternal, child and family health service",GP
Wallan Family Practice,Wallan,VIC,3756,144.978271484375,-37.41392135620120,General practice service,GP
North Coast Medical Centre,Byron Bay,NSW,2481,153.6084747314450,-28.64143180847170,General practice service,GP
Ginninderra Medical And Dental Centre,Belconnen,ACT,2617,149.05728149414100,-35.239158630371100,General practice service,GP
