"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Roleystone Child Health Centre","Roleystone","WA",6111,116.068176269531,-32.1122817993164,"Maternal, child and family health service","GP",2
"Belgrave Medical Clinic","Tecoma","VIC",3160,145.347091674805,-37.9071464538574,"General practice service","GP",1
"Dr Van Lanh Nguyen Bankstown","Bankstown","NSW",2200,151.032431,-33.918751,"General practice service","GP",42
"Nganampa Health Council - Alice Springs Admin Office","Ciccone","NT",870,133.870742797852,-23.7006855010986,"Aboriginal and Torres Strait Islander health service","GP",1
"Eastbrooke Blacktown Gp Superclinic","Blacktown","NSW",2148,150.910247802734,-33.771427154541,"General practice service","GP",34
"Myhealth Edensor Park","Edensor Park","NSW",2176,150.875152587891,-33.8809509277344,"General practice service","GP",3
"Rostrata Child Health Centre","Willetton","WA",6155,115.893882751465,-32.0497589111328,"Maternal, child and family health service","GP",14
"Eureka Medical And Dental Centre","Ballarat Central","VIC",3350,143.858506,-37.56394982,"General practice service","GP",23
"Narrogin Child Health Centre","Narrogin","WA",6312,117.163101196289,-32.9373168945313,"Maternal, child and family health service","GP",4
"Beckenham Medical Centre","Beckenham","WA",6107,115.965957641602,-32.0134391784668,"General practice service","GP",7
"Camberwell Medical Group","Camberwell","VIC",3124,145.060287475586,-37.8319625854492,"General practice service","GP",17
"Our Medical Caroline Springs","Caroline Springs","VIC",3023,144.74018133,-37.73515494,"General practice service","GP",7
"Varley Nursing Post","Varley","WA",6355,119.511215209961,-32.7939567565918,"Nurse led clinic","GP",1
"Stud Park Medical And Dental Centre","Rowville","VIC",3178,145.235488891602,-37.9188270568848,"General practice service","GP",18
"Maternal And Child Health Centre - Cobden","Cobden","VIC",3266,143.076904296875,-38.3277931213379,"Maternal, child and family health service","GP",4
"Healthone Rylstone Child And Family Health Service","Rylstone","NSW",2849,149.975036621094,-32.8034973144531,"Maternal, child and family health service","GP",2
"Kingsgrove Child And Family Health","Kingsgrove","NSW",2208,151.09814453125,-33.9427108764648,"Maternal, child and family health service","GP",8
"Bundarra Community Health Centre","Bundarra","NSW",2359,151.075942993164,-30.165470123291,"Maternal, child and family health service","GP",1
"Saibai Island Primary Health Care Centre","Saibai Island","QLD",4875,142.621368408203,-9.37798118591309,"General practice service","GP",3
"Doncaster East Family Medical Centre","Doncaster East","VIC",3109,145.161682128906,-37.7917747497559,"General practice service","GP",19
"Maxim Street Health Hub","West Ryde","NSW",2114,151.088697,-33.808419,"General practice service","GP",6
"Darrimba Maarra Aboriginal Health Clinic - Nambucca","Nambucca Heads","NSW",2448,153.001678466797,-30.6408767700195,"Aboriginal and Torres Strait Islander health service","GP",6
"Clifton Hill Clinic","Clifton Hill","VIC",3068,144.997177124023,-37.788459777832,"General practice service","GP",4
"Narromine Community Health Centre Nursing Service","Narromine","NSW",2821,148.239395141602,-32.2429962158203,"Nurse led clinic","GP",5
"Florey Medical Centre","Florey","ACT",2615,149.054000854492,-35.2258491516113,"General practice service","GP",2
"After Hours Gp Canning Vale","Canning Vale","WA",6155,115.940620422363,-32.0901222229004,"General practice service","GP",19
"Moonee Ponds Medical Clinic","Moonee Ponds","VIC",3039,144.926651000977,-37.7590408325195,"General practice service","GP",16
"Lurnea Medical Centre","Lurnea","NSW",2170,150.896927,-33.930885,"General practice service","GP",3
"Peel Youth Medical Service","Mandurah","WA",6210,115.744110107422,-32.5281105041504,"General practice service","GP",18
"Castlecrag Medical Practice","Castlecrag","NSW",2068,151.212707519531,-33.8021392822266,"General practice service","GP",3
"Epping Family Medical Centre","Epping","VIC",3076,145.025588989258,-37.648193359375,"General practice service","GP",36
"Maternal And Child Health Centre - Barwon Heads","Barwon Heads","VIC",3227,144.490768432617,-38.2812271118164,"Maternal, child and family health service","GP",3
"Top Ryde Medical Centre","Ryde","NSW",2112,151.107177734375,-33.8149070739746,"General practice service","GP",17
"Blackwood Family Medical Centre","Blackwood","SA",5051,138.614963,-35.021536,"General practice service","GP",8
"Wagga Wagga Medical Centre","Wagga Wagga","NSW",2650,147.368549,-35.118582,"General practice service","GP",25
"Parkes Community Health Centre General Nursing Service","Parkes","NSW",2870,148.169891357422,-33.1533164978027,"Nurse led clinic","GP",8
"Aboriginal Hacc Access/development Officer Hunter","Newcastle West","NSW",2302,151.757110595703,-32.9249992370606,"Aboriginal and Torres Strait Islander health service","GP",7
"Remede Wellness Medicine","Mosman Park","WA",6012,115.759101867676,-32.0070762634277,"General practice service","GP",5
"Maternal And Child Health Centre - Joy Street - Frankston","Frankston","VIC",3199,145.131729125977,-38.144401550293,"Maternal, child and family health service","GP",38
"Northlands Healthsense Pharmacy","Balcatta","WA",6021,115.829978942871,-31.8731651306152,"Nurse practitioner led clinic","GP",8
"North Street Medical Centre","Midland","WA",6056,116.00605656,-31.88532009,"General practice service","GP",22
"Benalla Health","Benalla","VIC",3672,145.993682861328,-36.5550270080566,"Nurse led clinic","GP",8
"Mountain Gate Medical Centre","Ferntree Gully","VIC",3156,145.273223876953,-37.8849487304688,"General practice service","GP",10
"Greenacre Medical Centre","Greenacre","NSW",2190,151.056930541992,-33.9069557189941,"General practice service","GP",10
"Longford Child Health Centre","Longford","TAS",7301,147.12126159668,-41.5928497314453,"Maternal, child and family health service","GP",3
"Edgewater Boulevard Pharmacy","Maribyrnong","VIC",3032,144.892379760742,-37.7852516174316,"General practice service","GP",9
"Gp Plus Health Care Centre Aldinga","Aldinga Beach","SA",5173,138.464202880859,-35.272876739502,"Maternal, child and family health service","GP",6
"Better Health Medical Centre","Shepparton","VIC",3630,145.401351928711,-36.3734512329102,"General practice service","GP",28
"Northern Health - Northern Hospital","Epping","VIC",3076,145.014587402344,-37.6532287597656,"Maternal, child and family health service","GP",36
"Ochre Medical Centre - Noosa","Noosa Heads","QLD",4567,153.091506958008,-26.3982048034668,"General practice service","GP",9
"Mccrae Village Clinic","Mccrae","VIC",3938,144.927337646484,-38.3493766784668,"General practice service","GP",2
"Waroona Child Health Centre","Waroona","WA",6215,115.92425795,-32.84293558,"Maternal, child and family health service","GP",3
"Glen Iris Medical Group","Glen Iris","VIC",3146,145.050369262695,-37.8629951477051,"General practice service","GP",11
"Bentleigh Medical Centre","Bentleigh","VIC",3204,145.030548095703,-37.9177589416504,"General practice service","GP",13
"Stawell Medical Centre","Stawell","VIC",3380,142.779388427734,-37.0559349060059,"General practice service","GP",8
"Green Square Health","Waterloo","NSW",2017,151.207409,-33.90249,"General practice service","GP",6
"Montrose Medical Practice","Glebe","NSW",2037,151.192031860352,-33.884090423584,"General practice service","GP",8
"Tambellup Child Health Centre","Tambellup","WA",6320,117.643096923828,-34.0441856384277,"Maternal, child and family health service","GP",2
"Wallan Family Practice","Wallan","VIC",3756,144.978271484375,-37.4139213562012,"General practice service","GP",6
"North Coast Medical Centre","Byron Bay","NSW",2481,153.608474731445,-28.6414318084717,"General practice service","GP",12
"Ginninderra Medical And Dental Centre","Belconnen","ACT",2617,149.057281494141,-35.2391586303711,"General practice service","GP",14
"Gosnells Medical Clinic","Gosnells","WA",6110,116.001052856445,-32.0701904296875,"General practice service","GP",12
"Adelaide Hills Medical Clinic - Stirling","Stirling","SA",5152,138.717407226563,-35.0066413879395,"Nurse practitioner led clinic","GP",12
"Ngala Parenting Line","Kensington","WA",6151,115.883583068848,-31.9869594573975,"Maternal, child and family health service","GP",13
